用例ID,优先级,模块,HTTP,路径,鉴权,关键入参,预期HTTP,预期业务code说明,预期结果摘要,预置与步骤摘要
TC-TRD-001,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 接口返回业务失败（如 code≠0 或 message 含拒绝原因）。2) 文案含「委托数量不符合交易单位」。3) 不产生新的 trd_order 与 rpt_order_dispatch。,预置条件：目标证券 md_security.lot_size=N（如100）；客户资金与股东账户正常；行情可选。操作步骤：POST /api/app/trade/orders 或 /api/operator/trade/orders 申报数…
TC-TRD-002,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「委托价格超过涨停价」。3) 无新委托落库。,预置条件：md_market_quote 存在 upper_limit_price；其余正常。操作步骤：申报价格高于涨停价。
TC-TRD-003,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「委托价格低于跌停价」。3) 无新委托落库。,预置条件：md_market_quote 存在 lower_limit_price。操作步骤：申报价格低于跌停价。
TC-TRD-004,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「可用资金不足（含预估佣金/税费）」。3) acct_fund_account 可用/冻结未发生成功下单对应的扣减。,预置条件：BUY；TradingFeeRule 可加载；可用资金小于 成交额+预估佣金+买入印花税。操作步骤：发起买入委托。
TC-TRD-005,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「可卖持仓不足」。3) 无新委托或持仓冻结未成功。,预置条件：SELL；acct_position 可用数量小于申报量。操作步骤：发起卖出委托。
TC-TRD-006,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「资金账户不存在或不属于该客户」。,预置条件：fund_account_no 与 customer_id 不匹配或不存在。操作步骤：下单。
TC-TRD-007,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「资金账户状态异常，禁止交易」。,预置条件：acct_fund_account.status≠NORMAL。操作步骤：下单。
TC-TRD-008,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「股东账户不存在」或「股东账户状态异常」。,预置条件：无对应市场股东账户或 account_status 异常。操作步骤：下单。
TC-TRD-009,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「证券代码不存在」或「证券不可交易」。,预置条件：错误代码或 listed_status≠1。操作步骤：下单。
TC-TRD-010,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「市场参数错误，仅支持SH/SZ」。,预置条件：无。操作步骤：market 传入非法值。
TC-TRD-011,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「买卖方向仅支持BUY/SELL或B/S」。,预置条件：无。操作步骤：direction 非 BUY/SELL/B/S 可识别值。
