测试功能点,子功能检查点,测试步骤,预期结果,执行状态,实际结果,作者或修改者,最后执行者,最后执行日期
TC-TRD-001,委托数量须为交易单位整数倍,"预置条件：
1. 目标证券 md_security.lot_size=N（如100）；客户资金与股东账户正常；行情可选。

操作步骤：
1. POST /api/app/trade/orders 或 /api/operator/trade/orders 申报数量不为 N 的整数倍。","1. 接口返回业务失败（如 code≠0 或 message 含拒绝原因）。
2. 文案含「委托数量不符合交易单位」。
3. 不产生新的 trd_order 与 rpt_order_dispatch。",,,测试设计,,
TC-TRD-002,委托价格不超过涨停价,"预置条件：
1. md_market_quote 存在 upper_limit_price；其余正常。

操作步骤：
1. 申报价格高于涨停价。","1. 业务失败。
2. 文案含「委托价格超过涨停价」。
3. 无新委托落库。",,,测试设计,,
TC-TRD-003,委托价格不低于跌停价,"预置条件：
1. md_market_quote 存在 lower_limit_price。

操作步骤：
1. 申报价格低于跌停价。","1. 业务失败。
2. 文案含「委托价格低于跌停价」。
3. 无新委托落库。",,,测试设计,,
TC-TRD-004,买入可用资金不足（含预估佣金与买入印花税）,"预置条件：
1. BUY；TradingFeeRule 可加载；可用资金小于 成交额+预估佣金+买入印花税。

操作步骤：
1. 发起买入委托。","1. 业务失败。
2. 文案含「可用资金不足（含预估佣金/税费）」。
3. acct_fund_account 可用/冻结未发生成功下单对应的扣减。",,,测试设计,,
TC-TRD-005,卖出可卖持仓不足,"预置条件：
1. SELL；acct_position 可用数量小于申报量。

操作步骤：
1. 发起卖出委托。","1. 业务失败。
2. 文案含「可卖持仓不足」。
3. 无新委托或持仓冻结未成功。",,,测试设计,,
TC-TRD-006,资金账户不存在或归属错误,"预置条件：
1. fund_account_no 与 customer_id 不匹配或不存在。

操作步骤：
1. 下单。","1. 业务失败。
2. 文案含「资金账户不存在或不属于该客户」。",,,测试设计,,
TC-TRD-007,资金账户状态非 NORMAL,"预置条件：
1. acct_fund_account.status≠NORMAL。

操作步骤：
1. 下单。","1. 业务失败。
2. 文案含「资金账户状态异常，禁止交易」。",,,测试设计,,
TC-TRD-008,股东账户不存在或状态异常,"预置条件：
1. 无对应市场股东账户或 account_status 异常。

操作步骤：
1. 下单。","1. 业务失败。
2. 文案含「股东账户不存在」或「股东账户状态异常」。",,,测试设计,,
TC-TRD-009,证券代码不存在或不可交易,"预置条件：
1. 错误代码或 listed_status≠1。

操作步骤：
1. 下单。","1. 业务失败。
2. 文案含「证券代码不存在」或「证券不可交易」。",,,测试设计,,
TC-TRD-010,市场参数仅支持 SH/SZ,"预置条件：
1. 无。

操作步骤：
1. market 传入非法值。","1. 业务失败。
2. 文案含「市场参数错误，仅支持SH/SZ」。",,,测试设计,,
